walk,l1,l2,x0
211,4,4.000000,4
212,62,62.000000,62
213,94,94.000000,94
214,76,76.000000,-76
215,114,114.000000,-114
216,52,52.000000,-52
217,118,118.000000,-118
218,16,16.000000,16
219,184,184.000000,184
220,48,48.000000,48
221,42,42.000000,-42
222,214,214.000000,-214
223,124,124.000000,-124
224,6,6.000000,-6
225,134,134.000000,134
226,34,34.000000,-34
227,32,32.000000,32
228,110,110.000000,-110
229,74,74.000000,74
230,4,4.000000,-4
231,30,30.000000,30
232,54,54.000000,54
233,150,150.000000,150
234,94,94.000000,94
235,92,92.000000,-92
236,6,6.000000,6
237,68,68.000000,68
238,32,32.000000,32
239,30,30.000000,-30
240,36,36.000000,36
241,6,6.000000,6
242,92,92.000000,-92
243,70,70.000000,-70
244,52,52.000000,52
245,52,52.000000,-52
246,214,214.000000,-214
247,28,28.000000,-28
248,2,2.000000,-2
249,120,120.000000,120
250,278,278.000000,-278
251,54,54.000000,54
252,78,78.000000,78
253,16,16.000000,-16
254,76,76.000000,76
255,208,208.000000,208
256,210,210.000000,-210
257,30,30.000000,-30
258,62,62.000000,62
259,50,50.000000,50
260,126,126.000000,-126
261,56,56.000000,56
262,80,80.000000,-80
263,64,64.000000,-64
264,108,108.000000,108
265,14,14.000000,14
266,196,196.000000,-196
267,166,166.000000,166
268,38,38.000000,38
269,48,48.000000,48
270,74,74.000000,-74
271,16,16.000000,16
272,114,114.000000,114
273,76,76.000000,-76
274,54,54.000000,-54
275,36,36.000000,36
276,100,100.000000,100
277,14,14.000000,-14
278,128,128.000000,128
279,26,26.000000,-26
280,206,206.000000,206
281,132,132.000000,-132
282,88,88.000000,88
283,30,30.000000,-30
284,30,30.000000,-30
285,62,62.000000,62
286,114,114.000000,-114
287,168,168.000000,168
288,50,50.000000,-50
289,40,40.000000,-40
290,46,46.000000,-46
291,26,26.000000,26
292,170,170.000000,-170
293,62,62.000000,62
294,96,96.000000,-96
295,146,146.000000,146
296,44,44.000000,-44
297,60,60.000000,60
298,166,166.000000,166
299,76,76.000000,76
300,72,72.000000,72
301,72,72.000000,72
302,44,44.000000,-44
303,52,52.000000,-52
304,44,44.000000,44
305,14,14.000000,-14
306,8,8.000000,8
307,78,78.000000,78
308,34,34.000000,34
309,74,74.000000,-74
310,158,158.000000,158
311,158,158.000000,158
312,46,46.000000,46
313,10,10.000000,10
314,66,66.000000,-66
315,42,42.000000,-42
316,126,126.000000,126
317,118,118.000000,-118
318,186,186.000000,186
319,110,110.000000,110
320,78,78.000000,-78
321,64,64.000000,64
322,36,36.000000,-36
323,156,156.000000,156
324,44,44.000000,-44
325,48,48.000000,48
326,54,54.000000,-54
327,252,252.000000,-252
328,74,74.000000,-74
329,64,64.000000,-64
330,66,66.000000,66
331,42,42.000000,-42
332,16,16.000000,-16
333,16,16.000000,16
334,40,40.000000,40
335,80,80.000000,80
336,130,130.000000,-130
337,48,48.000000,-48
338,76,76.000000,76
339,60,60.000000,-60
340,60,60.000000,60
341,186,186.000000,-186
342,88,88.000000,-88
343,112,112.000000,112
344,196,196.000000,-196
345,84,84.000000,-84
346,160,160.000000,-160
347,102,102.000000,-102
348,88,88.000000,-88
349,114,114.000000,114
350,40,40.000000,40
